,,"Mots d'ordre et résultats par parti depuis la 46ème législature à la 50ème (1999-2019) (Les votations commencent début 2000, la légilature commençant en décembre 1999)",,,,,,,,,,,,,,,,,,
,Sujets de votations,oui en %,non en %,Résultat CH,PLR CH,Gagné/perdu CH,PS CH,Gagné/perdu CH,PDC CH,Gagné/perdu CH,UDC CH,Gagné/perdu CH,PVL CH,Gagné/perdu CH,PBD CH,Gagné/perdu CH,Verts CH,Gagné/perdu CH,Conseil fédéral,Gagné/perdu CH
2000,Arrêté fédéral sur la réforme de la justice,"86,4%","13,6%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Initiative «pour une démocratie directe plus rapide (délai de traitement des initiatives populaires présentées sous forme de projet rédigé de toutes pièces)»,"30,0%","70,0%",non,non,gagné,non,gagné,non,gagné,oui,perdu,,,,,non,gagné,non,gagné
,Initiative «pour une représentation équitable des femmes dans les autorités fédérales (initiative du 3 mars)»,"18,0%","82,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour la protection de l'être humain contre les techniques de reproduction artificielle (initiative pour une procréation respectant la dignité humaine [PPD])»,"28,2%","71,8%",non,non,gagné,non,gagné,non,gagné,non,gagné,,,,,liberté de vote,perdu,non,gagné
,Initiative «visant à réduire de moitié le trafic routier motorisé afin de maintenir et d'améliorer des espaces vitaux (initiative pour la réduction du trafic)»,"21,3%","78,7%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Arrêté fédéral portant approbation des accords sectoriels entre, d'une part, la Confédération suisse et, d'autre part, la Communauté européenne","67,2%","32,8%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Initiative «pour l'introduction d'un centime solaire»,"31,3%","67,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Article constitutionnel sur une redevance pour l'encouragement des énergies renouvelables,"45,3%","51,8%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,Article constitutionnel relatif à une redevance incitative sur l'énergie en faveur de l'environnement,"44,5%","55,5%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,Initiative «pour une réglementation de l'immigration»,"36,2%","63,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,,,,,non,gagné,non,gagné
,Initiative «pour davantage de droits au peuple grâce au référendum avec contre-proposition»,"34,1%","65,1%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour un assouplissement de l'AVS - contre le relèvement de l'âge de la retraite des femmes»,"39,5%","60,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative «pour une retraite à la carte dès 62 ans, tant pour les femmes que pour les hommes»","46,0%","54,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «Economiser dans l'armée et la défense générale - pour davantage de paix et d'emplois d'avenir»,"37,6%","62,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour des coûts hospitaliers moins élevés»,"17,9%","82,1%",non,non,gagné,non,gagné,non,gagné,non,gagné,,,,,non,gagné,non,gagné
,Loi sur le personnel de la Confédération,"66,8%","33,2%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2001,Initiative «Oui à l'Europe!»,"23,2%","76,8%",non,pas d'accord,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour des médicaments à moindre prix»,"30,9%","69,1%",non,non,gagné,liberté de vote,perdu,non,gagné,non,gagné,,,,,non,gagné,non,gagné
,Initiative «pour plus de sécurité à l'intérieur des localités grâce à une vitesse maximale de 30 km/h assortie d'exceptions (Rues pour tous)»,"20,3%","79,7%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Loi fédérale sur l'armée et l'administration militaire (Armement),"51,0%","49,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,non,perdu,oui,gagné
,Loi fédérale sur l'armée et l'administration militaire (Coopération en matière d’instruction),"51,1%","48,9%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,non,perdu,oui,gagné
,Arrêté fédéral portant abrogation de la disposition constitutionnelle soumettant l'érection des évêchés à l'approbation de la Confédération,"64,2%","35,8%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Arrêté fédéral concernant un frein à l'endettement,"84,7%","15,3%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Initiative «pour garantir l'AVS - taxer l'énergie et non le travail!»,"22,9%","77,1%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour une politique de sécurité crédible et une Suisse sans armée»,"21,9%","78,1%",non,non,gagné,liberté de vote,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «La solidarité crée la sécurité: pour un service civil volontaire pour la paix (SCP)»,"23,2%","76,8%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Initiative «pour un impôt sur les gains en capital»,"34,1%","65,9%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
2002,Initiative «pour l'adhésion de la Suisse à l'Organisation ,"54,6%","45,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Initiative «pour une durée du travail réduite»,"25,4%","74,6%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Code pénal suisse (interruption de grossesse, régime du délai)","72,2%","27,8%",oui,oui,gagné,oui,gagné,non,perdu,non,perdu,,,,,oui,gagné,oui,gagné
,"Initiative ""Pour la mère et l'enfant - pour la protection de l'enfant à naître et pour l'aide de sa mère dans la détresse""","18,2%","81,8%",non,non,gagné,non,gagné,non,gagné,non,gagné,,,,,non,gagné,non,gagné
,"Initiative ""Pour le versement aux fonds AVS les réserves d'or excédentaires de la Banque nationale suisse""*","46,4%","51,1%",non,non,gagné,non,gagné,non,gagné,oui,perdu,,,,,non,gagné,non,gagné
,"L'or à l'AVS, aux cantons et à la Fondation (contre-projet initiative sur l'or)*","46,4%","49,8%",non,pas d'accord,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,Loi sur le marché de l'électricité,"47,4%","52,6%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,"Initiative ""Contre les abus dans le droit d'asile""","49,9%","50,1%",non,non,gagné,non,gagné,non,gagné,oui,perdu,,,,,non,gagné,non,gagné
,Loi fédérale sur l'assurance-chômage obligatoire et l'indemnité en cas d'insolvabilité,"56,1%","43,9%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2003,Arrêté fédéral relatif à la révision des droits populaires,"70,4%","29,6%",oui,pas d'accord,perdu,non,perdu,oui,gagné,non,perdu,,,,,non,perdu,oui,gagné
,Loi fédérale sur l'adaptation des participations cantonales aux coûts des traitements hospitaliers,"77,4%","22,6%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Loi fédérale sur l'armée (Armée XXI),"76,0%","24,0%",oui,oui,gagné,blanc,perdu,oui,gagné,oui,gagné,,,,,blanc,perdu,oui,gagné
,Loi fédérale sur la protection de la population et sur la protection civile,"80,6%","19,4%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,"Initiative ""Pour des loyers loyaux""","32,7%","67,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""Pour un dimanche sans voitures par saison - essai limité à quatre ans""","37,6%","62,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""La santé à un prix abordable""","27,1%","72,9%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""Droits égaux pour les personnes handicapées""","37,7%","62,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""Sortir du nucléaire - pour un tournant dans le domaine de l'énergie et pour la désaffectation progressive des centrales nucléaires""","33,7%","66,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""Moratoire-plus - pour la prolongation du moration dans la construction de centrales nucléaires et la limitation du risque nucléaire""","41,6%","58,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Initiative ""Pour une offre plus appropriée en matière de formation professionnelle""","31,6%","68,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
2004,"Contre projet relatif à l'initiative ""Avanti - pour des autoroutes sûres et performantes""","37,2%","62,8%",non,oui,perdu,non,gagné,non,gagné,oui,perdu,,,,,non,gagné,oui,perdu
,Code des Obligations (Bail à loyer). Modification,"35,9%","64,1%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,"Initiative ""Internement à vie pour les délinquants sexuels ou violents jugés très dangereux et non-amendables""","56,2%","43,8%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,,,,,non,perdu,non,perdu
,Loi fédérale sur l'assurance-vieillesse et survivants (11e révision de l'AVS),"32,1%","67,9%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,Arrêté fédéral sur le financement de l'AVS/AI par le biai d'un relèvement de la taxe sur la valeur ajoutée,"31,4%","68,6%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,"Loi fédérale sur la modification d'actes  concernant l'imposition du couple et de la famille, l'imposition du logement et les droits de timbre","34,1%","65,9%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,Arrêté fédéral sur la naturalisation ordinaire et sur la naturalisation facilitée des jeunes étrangers de deuxième génération,"43,2%","56,8%",non,oui,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,Arrêté fédéral sur l'acquisition de la nationalité par les étrangers de troisième génération,"48,4%","51,6%",non,oui,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,"Initiative ""Services postaux pour tous""","49,8%","50,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Loi fédérale sur le régime des allocations pour perte de gain en faveur des personnes servant dans l'armée, dans le service civil ou dans la protection civile (Loi sur les allocations pour pertes de gain, LAPG)","55,5%","44,5%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Arrêté fédéral concernant la réforme de la péréquation financière et de la répartition des tâches entre la Confédération et les cantons (RPT),"64,4%","35,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Arrêté fédéral sur un nouveau régime financier,"73,8%","26,2%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Loi fédérale sur la recherche sur les cellules souches embryonnaires,"66,4%","33,6%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2005,Arrêté fédéral portant approbation et mise en œuvre des accords bilatéraux d'association à l'Espace Schengen et à l'Espace Dublin,"54,6%","45,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,"Loi fédéral sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat, LPart)","58,0%","42,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Arrêté fédéral relatif à l'extension de l'accord sur la libre circulation des personnes aux nouveaux Etats membres de l'UE et à la révision des mesures d'accompagnement,"56,0%","44,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,"Initiative ""Pour des aliments produits sans manipulations génétiques""","55,7%","44,3%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,,,,,oui,gagné,non,perdu
,Loi sur le travail (Heures d'ouverture des commerces dans les centres de transports publics),"50,6%","49,4%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2006,Arrêté fédéral modifiant les articles de la Constitution sur la formation,"85,6%","14,4%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,"Initiative ""Les bénéfices de la Banque nationale pour l'AVS""","41,7%","58,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Loi fédérale sur les étrangers,"68,0%","32,0%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Modification de la loi sur l'asile,"67,8%","32,2%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Loi fédérale sur la coopération avec l'Europe de l'Est,"53,4%","46,6%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Loi fédérale sur les allocations familiales,"68,0%","32,0%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
2007,"Initiative ""Pour une caisse maladie unique et sociale""","28,8%","71,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Loi fédérale sur l'assurance-invalidité,51.9*%,"40,9%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2008,"Initiative ""Contre le bruit des avions de combat à réaction dans les zones touristiques""","31,9%","68,1%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,,,oui,perdu,non,gagné
,Loi fédérale sur l'amélioration des conditions fiscales applicables aux activités entrepeneuriales et aux investissements,"50,5%","49,5%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,,,non,perdu,oui,gagné
,"Initiative ""Pour des naturalisations démocratiques""","36,2%","63,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,non,gagné
,"Initiative ""Pour une souverainté du peuple sans propagande gouvernementale""","24,8%","75,2%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,non,gagné
,"Article constitutionnel ""Qualité et efficacité économique dans l'assurance-maladie"" ","30,5%","69,5%",non,pas d'accord,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,oui,perdu
,"Initiative ""Pour une imprescriptibilité des actes de pornographie enfantine""","51,9%","48,1%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
,"Initiative ""Pour un âge de l'AVS flexible""","41,4%","58,6%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Droit de recours des organisations: Assez d'obstructionnisme, plus de croissance pour la Suisse""","34,0%","66,0%",non,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné,non,gagné
,"Initiative ""Pour une politique raisonnable en matière de chanvre protégeant efficacement la jeunesse""","36,7%","63,3%",non,pas d'accord,perdu,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,Loi fédérale sur les stupéfiants et les substances psychotropes,"68,1%","31,9%",oui,pas d'accord,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
2009,"Arrêté fédéral portant approbation de la reconduction de l’accord entre la Suisse et la Communauté européenne sur la libre circulation des personnes, ainsi qu’approbation du protocole visant à étendre l'accord à la Bulgarie et à la Roumanie","59,6%","40,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Article constitutionnel «Pour la prise en compte des médecines complémentaires» (Contre-projet à l’initiative populaire «Oui aux médecines complémentaires»),"67,0%","33,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral portant approbation et mise en oeuvre de l’échange de notes entre la Suisse et l’Union européenne concernant le Règlement relatif aux passeports biométriques et aux documents de voyage,"50,1%","49,9%",oui,oui,gagné,non,perdu,oui,gagné,non,perdu,liberté de vote,perdu,oui,gagné,non,perdu,oui,gagné
,Arrêté fédéral relatif au financement additionnel de l'AI par un relèvement temporaire des taux de la TVA,"54,6%","45,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral portant suppression de l'initiative populaire générale,"67,9%","32,1%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
