,,"Mots d'ordre et résultats par parti depuis la 46ème législature à la 50ème (1999-2019) (Les votations commencent début 2000, la légilature commençant en décembre 1999)",,,,,,,,,,,,,,,,,,
,Arrêté fédéral sur la création d'un financement spécial en faveur de tâches dans le domaine du trafic aérien,"65,0%","35,0%",oui,oui,gagné,liberté de vote,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative «Pour l'interdiction d'exporter du matériel de guerre»,"31,8%","68,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,liberté de vote,perdu,non,gagné,oui,perdu,non,gagné
,Initiative «Contre la construction de minarets»,"57,5%","42,5%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
2010,Article constitutionnel concernant la recherche sur l'être humain,"77,2%","22,2%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,liberté de vote,perdu,oui,gagné
,Initiative  «Contre les mauvais traitements envers les animaux et pour une meilleure protection juridique de ces derniers»,"29,5%","70,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,"Loi fédérale sur la prévoyance professionnelle vieillesse, survivants et invalidité (LPP) (Taux de conversion minimal)","27,3%","72,7%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu,non,gagné,oui,perdu
,Loi fédérale sur l'assurance-chômage obligatoire et l'indemnité en cas d'insolvabilité,"53,4%","46,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative  «Pour le renvoi des étrangers criminels»,"52,9%","47,1%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
,Arrêté fédéral concernant l'expulsion et le renvoi des criminels étrangers dans le respect de la Constitution (contre-projet à l'initiative sur le renvoi),"45,8%","54,2%",non,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu
,Initiative «Pour des impôts équitables. Stop aux abus de la concurrence fiscale»,"41,5%","58,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
2011,Initiative «Pour la protection face à la violence des armes»,"43,7%","56,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
2012,"Initiative ""Pour en finir avec les construction envahissantes des résidences secondaires"".","50,6%","49,4%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu
,Initiative sur l'épargne-logement,"44,2%","55,8%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,non,gagné,non,gagné
,"Initiative ""6 semaines de vacances pour tous""","33,5%","66,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Arrêté fédéral concernant la règlementation des jeux d'argent en faveur de l'utilité publique (Contre-projet à l'initiative ""Pour des jeux d'argent au service du bien commun"")","87,0%","13,0%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Loi fédérale sur la règlementation du prix du livre (LPL),"43,9%","56,1%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Accéder à la propriété grâce à l'épargne-logement"".","31,1%","68,9%",non,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,liberté de vote,perdu,non,gagné,non,gagné
,"Initiative ""Pour le renforcement des droits populaires dans la politique étrangère (accords internationaux: la parole au peuple !)","24,8%","75,2%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Modification de la loi fédérale sur l'assurance-maladie (Réseaux de soins),"24,0%","76,0%",non,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné,liberté de vote,perdu,oui,perdu
,Arrêté fédéral sur la promotion de la formation musicale des jeunes.,"72,7%","27,3%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,non,perdu
,"Initiative ""Sécurité du logement à la retraite""","47,4%","52,6%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,"Initiative ""Protection contre le tabagisme passif""","34,0%","66,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Modification de la loi sur les épizooties.,"68,3%","31,7%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
2013,Arrêté fédérale sur la politique familiale,"54,3%","45,7%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu
,Initiative Minder,"67,9%","32,1%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu
,Loi sur l'aménagement du territoire (LAT),"62,9%","37,1%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Election du Conseil fédéral par le peuple,"23,7%","76,3%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Loi sur l'asile,"78,4%","21,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative pour abrogation du service militaire obligatoire,"26,8%","73,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Loi sur les épidémies,"60,0%","40,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Libération des heures d'ouverture des shops en stations-services,"55,8%","44,2%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative 1:12,"34,7%","65,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Initiative pour les familles,"41,5%","58,5%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Loi de la vignette autoroutière,"39,5%","60,5%",non,oui,perdu,liberté de vote,perdu,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu
2014,FAIF - Fonds d'infrastructure ferroviaire,"62,0%","38,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative contre l'avortement dans l'assurance-maladie,"30,2%","69,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative contre l'immigration masssive,"50,3%","49,7%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
,"Contre projet à l'initiative de""oui à la médecine de famille""","88,0%","12,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative pour que les pédophiles ne travaillent plus avec des enfants,"63,5%","36,5%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,oui,gagné,non,perdu,non,perdu
,Initiative pour les salaires minimum (salaires équitables),"23,7%","76,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Loi sur le fond d'aquisition de l'avion de combat Gripen,"46,6%","53,4%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu
,Stop à la TVA discriminatoire pour la restauration!,"28,5%","71,5%",non,non,gagné,non,gagné,liberté de vote,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Caisse unique,"38,2%","61,8%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Abolition des forfaits fiscaux,"40,8%","59,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Ecopop""","25,9%","74,1%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative sur l'or,"22,7%","77,3%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné
2015,"Initiative ""Aider les familles""","24,6%","75,4%",non,non,gagné,non,gagné,oui,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»,"8,0%","92,0%",non,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,Diagnostic pré-implantatoire,"61,9%","38,1%",oui,oui,gagné,liberté de vote,perdu,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative sur les bourses d'étude,"27,5%","72,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Imposer les successions de plusieurs milions pour financer notre AVS,"29,0%","71,0%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,LRTV,"50,1%","49,9%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,non,perdu,oui,gagné,oui,gagné,oui,gagné
2016,Initiative «Pour le couple et la famille - Non à la pénalisation du mariage»,"49,2%","50,8%",non,non,gagné,non,gagné,oui,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative «Pour le renvoi effectif des étrangers criminels (initiative de mise en œuvre)»,"41,1%","58,9%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative  «Pas de spéculation sur les denrées alimentaires» ,"40,1%","59,9%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Modification de la loi fédérale sur le transit routier dans la région alpine (LTRA) (Réfection du tunnel routier du Gothard) ,"56,7%","43,3%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,non,perdu,oui,gagné
,Initiative  «En faveur du service public»,"32,4%","67,6%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative «Pour un revenu de base inconditionnel»,"23,1%","76,9%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Initiative «Pour un financement équitable des transports»,"29,2%","70,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Modification de la loi fédérale sur la procréation médicalement assistée (LPMA),"62,4%","37,6%",oui,oui,gagné,liberté de vote,perdu,oui,gagné,non,perdu,oui,gagné,oui,gagné,liberté de vote,perdu,oui,gagné
,Modification de la loi sur l'asile (LAsi),"66,8%","33,2%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,"Initiative ""Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte)","36,4%","63,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,"Initiative ""AVSplus: pour une AVS forte""","40,6%","59,4%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Loi sur le renseignement (LRens),"65,5%","34,5%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,"Initiative ""Sortir du nucléaire"" ","45,8%","54,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
2017,Arrêté fédéral concernant la naturalisation facilitée des étrangers de la troisième génération,"60,4%","39,6%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral sur la création d'un fonds pour les routes nationales et pour le trafic d‘agglomération (FORTA),"61,9%","38,1%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Loi fédérale sur l'amélioration des conditions fiscales en vue de renforcer la compétitivité du site entrepreneurial suisse  (RIE3),"40,9%","59,1%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu,non,gagné,oui,perdu
,Réferendum sur la loi sur l’énergie (LEne) ,"58,2%","41,8%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Contre-projet direct à l’initiative populaire «Pour la sécurité alimentaire»,"78,7%","21,2%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Financement additionnel de l’AVS par le biais d’un relèvement de la TVA,"50,0%","50,1%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu
,Réforme de la prévoyance vieillesse 2020 ,"47,3%","52,7%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu
2018,Arrêté fédéral concernant le nouveau régime financier 2021,"84,1%","15,1%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative «Oui à la suppression des redevances radio et télévision (suppression des redevances Billag)»,"28,4%","71,6%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,"Initiative ""Monnaie pleine""",,,,,,non,,non,,,,,,,,,,,
,Loi sur les jeux d'argent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"*Remarque: La somme des pourcentages de «oui» et de «non» n’égale pas 100% concernant l’initiative populaire et le contre-projet direct – explications: Lorsqu'un contre-projet direct est soumis en votation simultanément à une initiative populaire le bulletin de vote comprend trois questions (acceptation de l'initiative / acceptation du contre-projet / question subsidiaire). Seuls les bulletins entièrement vide ou nuls sont comptabiliser en tant que «bulletins n’entrant pas en ligne de compte». Si un bulletin est partiellement rempli ou partiellement nulle, il est comptabilisé en «bulletins valables». Il est cependant possible que le bulletin soit valable en général, mais sans réponse (blanc ou nulle) pour une, voir deux des questions soumises au vote (initiative / contre-projet / question subsidiaire). La banque de données se basant sur le nombre de «bulletins valables» pour le calcul du pourcentage de «oui» et de «non», les bulletins partiellement valables peuvent faire augmenter le nombre de «bulletins valables» sans forcément faire augmenter le nombre (absolu et en %) de «oui» ou de «non». Le nombre de bulletins de vote «sans réponse» est indiqué (par question) dans la validation de la votation par le Conseil fédéral.",,,,,,,,,,,,,,,,,,,
,"** les ""liberté de vote""/""pas d'accord"" sont de facto considérées comme perdues",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Recommandations de vote communes : Votations 1999-2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,PLR,,105,138,65,60,73,68,144,,,,,,,,,,
,,UDC,105,,95,24,23,45,36,96,,,,,,,,,,
,,PDC,138,95,,79,74,76,72,152,,,,,,,,,,
,,PS,65,24,79,,149,43,54,79,,,,,,,,,,
,,Les Verts,60,23,74,149,,40,55,74,,,,,,,,,,
,,PBD,73,45,76,43,40,,140,78,,,,,,,,,,
,,PVL,68,36,72,54,55,140,,75,,,,,,,,,,
,,CF,144,96,152,79,74,78,75,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations : ,1999-2018,1999-2002,2003-2007,2007-2011,2011-2015,2015-2019,,,,,,,,,,,,
,,,160,47,26,26,41,22,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 1999-2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,127,101,127,79,74,67,65,131,,,,,,,,,,
,,Perdues,35,61,35,83,88,17,24,31,,,,,,,,,,
,,%,"79,38%","63,13%","79,38%","49,38%","46,25%","81,71%","77,38%","81,88%",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 1999-2003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,33,27,30,15,13,,,32,,,,,,,,,,
,,Perdues,3,9,6,21,15,,,4,,,,,,,,,,
,,%,"70,21%","57,45%","63,83%","31,91%","27,66%",,,"68,09%",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 2003-2007,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,17,15,18,14,13,,,17,,,,,,,,,,
,,Perdues,9,11,8,12,13,,,9,,,,,,,,,,
,,%,"65,38%","57,69%","69,23%","53,85%","50,00%",,,"65,38%",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 2007-2011,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,17,15,21,12,11,15,16,20,,,,,,,,,,
,,Perdues,9,11,5,14,15,6,10,6,,,,,,,,,,
,,%,"65,38%","57,69%","80,77%","46,15%","42,31%","71,43%","61,54%","76,92%",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 2011-2015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,29,21,29,24,24,33,33,32,,,,,,,,,,
,,Perdues,12,20,12,17,17,8,8,9,,,,,,,,,,
,,%,"70,73%","51,22%","70,73%","58,54%","58,54%","80,49%","80,49%","78,05%",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Nombre de votations gagnées : Votations 2015-2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,PLR,UDC,PDC,PS,Les Verts,PBD,PVL,Conseil fédéral,,,,,,,,,,
,,Gagnées,21,13,18,12,11,19,16,19,,,,,,,,,,
,,Perdues,1,9,4,10,11,3,6,3,,,,,,,,,,
,,%,"95,45%","59,09%","81,82%","54,55%","50,00%","86,36%","72,73%","86,36%",,,,,,,,,,